NPI,NPPES Provider Last/Org Name,NPPES Provider First Name,NPPES Provider Zip Code,NPPES Provider State,Specialty Description,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate
1710269725,ADAMS,KAITLIN,6790,CT,Nurse Practitioner,1261,83,6.58%
1376827543,ADAMS,LUKE,6512,CT,Dentist,15,,
1801148234,ADAMS,MICHELLE,6850,CT,Physician Assistant,101,13,12.87%
1770588592,ADAMS,NANCY,6030,CT,Nephrology,244,0,0.00%
1841271640,ADAMS,ROBERT,6460,CT,Dentist,24,,
1477748341,ADAMS,SARAH,6708,CT,Physician Assistant,149,75,50.34%
1457678138,ADAMS,THERESA,6320,CT,Emergency Medicine,155,32,20.65%
1730522061,ADDAGATLA,KAMAL,6902,CT,Student in an Organized Health Care Education/Training Program,39,,
1942557079,ADDO-TABIRI,NANA,6102,CT,Internal Medicine,378,31,8.20%
1447447008,ADE,SUSAN,6492,CT,Nurse Practitioner,336,32,9.52%
1801044649,ADEBAMIRO,ADEDOTUN,6510,CT,Internal Medicine,24,,
1780974873,ADEGOKE,OLUWAKEMI,6902,CT,Student in an Organized Health Care Education/Training Program,36,0,0.00%
1902248412,ADEINAT,BASHAR,6030,CT,Student in an Organized Health Care Education/Training Program,41,,
1942595855,ADEKOLU,EVELYN,6510,CT,Internal Medicine,338,,
1073871372,ADEKOLU,OLUROTIMI,6030,CT,Internal Medicine,202,,
1245266352,ADELMAN,RON,6519,CT,Ophthalmology,104,,
1861436511,ADELMANN,CHARLES,6851,CT,Gastroenterology,1021,0,0.00%
1417956962,ADELSBERG,BERNARD,6518,CT,Allergy/Immunology,1316,14,1.06%
1285846790,ADELSON,KERIN,6510,CT,Medical Oncology,230,,
1649552159,ADENIJI,ADERONKE,6106,CT,Internal Medicine,129,,
1568413326,ADERHOLT,SARAH,6824,CT,Psychiatry,490,,
1861498685,ADETOLA,ADEDAYO,6515,CT,Internal Medicine,13638,368,2.70%
1598907925,ADEWOLE,ANTHONIA,6510,CT,Student in an Organized Health Care Education/Training Program,12,,
1225441066,ADHIKARI,SANJU,6010,CT,Psychiatry,94,0,0.00%
1801936448,ADIMANDO,ANDREA,6511,CT,Nurse Practitioner,14,0,0.00%
1639344120,ADLAKHA,ASHISH,6457,CT,Neurology,482,,
1225461221,ADLER,ALYSON,6702,CT,Nurse Practitioner,679,0,0.00%
1851301709,ADLER,JACK,6010,CT,Internal Medicine,7069,260,3.68%
1508894676,ADLER,MARY,6082,CT,Internal Medicine,2065,28,1.36%
1235148438,ADLER,SHARON,6010,CT,Obstetrics/Gynecology,389,15,3.86%
1245278886,ADLER-KLEIN,DEBRA,6810,CT,Internal Medicine,39,0,0.00%
1700049996,ADRA,SOUHEIL,6010,CT,General Surgery,62,,
1659337145,ADRIAN,GEORGE,6340,CT,Optometry,54,0,0.00%
1790782365,ADSUAR,NATALIE,6410,CT,Obstetrics/Gynecology,50,0,0.00%
1043560287,ADUSEI,MICHAEL,6902,CT,Psychiatry,23,0,0.00%
1881836799,ADVANI,ANISHA,6510,CT,Internal Medicine,18,,
1598969990,ADVANI,KAVITA,6706,CT,Internal Medicine,306,37,12.09%
1316960594,AFERZON,JOSEPH,6480,CT,Neurosurgery,158,86,54.43%
1114956380,AFERZON,MARK,6484,CT,Otolaryngology,132,,
1407808645,AFFANY,ABDELMONIM,6001,CT,Psychiatry,1594,0,0.00%
1164517033,AFFENITO,JAMES,6010,CT,Oral Surgery (dentists only),153,69,45.10%
1992847644,AFOLALU,ABISOLA,6473,CT,Internal Medicine,10818,151,1.40%
1548442726,AFOLALU,BAYODE,6477,CT,Internal Medicine,1018,,
1992980536,AFONSO,FERNANDO,6810,CT,Internal Medicine,107,,
1659300416,AFRICANO,KATHLEEN,6820,CT,Nurse Practitioner,1610,23,1.43%
1750401071,AFSHAR,ALIREZA,6470,CT,Family Practice,872,,
1588897045,AFTAB,UNBER,6418,CT,Internal Medicine,23,,
1760770234,AFZAL,ATIF,6052,CT,Internal Medicine,66,0,0.00%
1922197557,AGABABAEV,ERVIN,6854,CT,Dentist,225,26,11.56%
1386993814,AGARIN,TAGHOGHO,6040,CT,Psychiatry,2063,20,0.97%
1326226044,AGARWAL,ARUN,6052,CT,Cardiology,2810,,
1427164086,AGARWAL,SATYA,6066,CT,Emergency Medicine,12,,
1245673284,AGBOR-ETANG,BRIAN,6830,CT,Student in an Organized Health Care Education/Training Program,315,,
1942597588,AGGARWAL,AAKASH,6030,CT,Student in an Organized Health Care Education/Training Program,54,0,0.00%
1427041987,AGGARWAL,ALKA,6810,CT,Internal Medicine,88,,
1447326871,AGGARWAL,AMITA,6480,CT,Dentist,73,,
1154558401,AGGARWAL,DIVYA,6418,CT,Ophthalmology,274,,
1912927658,AGGARWAL,SANJAY,6511,CT,Internal Medicine,6701,216,3.22%
1790729093,AGIN,ELLIOT,6460,CT,Cardiology,4154,0,0.00%
1275893703,AGOCHUKWU,NNENAYA,6510,CT,Student in an Organized Health Care Education/Training Program,114,28,24.56%
1609974047,AGOSTIN,DOMINICK,6897,CT,Dentist,25,,
1487090700,AGOSTO,ANARDI,6030,CT,Student in an Organized Health Care Education/Training Program,432,,
1952364465,AGRANOV,DOUGLAS,6443,CT,Optometry,73,0,0.00%
1427034016,AGRAWAL,ANJALI,6510,CT,Diagnostic Radiology,13,0,0.00%
1194775965,AGRESTA,THOMAS,6105,CT,Family Practice,385,,
1912977380,AGRO,CHRISTOPHER,6082,CT,Optometry,420,0,0.00%
1184931404,AGUAYO,PATRICIA,6053,CT,Psychiatry,106,0,0.00%
1740475649,AGUILAR,BEN HUR,6897,CT,Internal Medicine,4265,59,1.38%
1477704971,AGUILAR-ZANATTA,JORGE,6510,CT,Psychiatry,49,0,0.00%
1508296542,AGYEKUM,KARREN,6067,CT,Nurse Practitioner,140,16,11.43%
1083722383,AHAMED,SULTAN,6355,CT,Vascular Surgery,19,0,0.00%
1619073210,AHASIC,AMY,6519,CT,Pulmonary Disease,44,0,0.00%
1356385868,AHERN,JAMES,6877,CT,Family Practice,2496,49,1.96%
1770566317,AHERN,JOANN,6810,CT,Certified Clinical Nurse Specialist,18,0,0.00%
1487834917,AHERN LOCKWOOD,MONICA,6606,CT,Internal Medicine,197,13,6.60%
1427140862,AHGHARI,SAEED,6118,CT,Emergency Medicine,207,15,7.25%
1821191990,AHIMSA,JENNIFER,6120,CT,Certified Nurse Midwife,14,0,0.00%
1649682956,AHLE,SAMANTHA,6510,CT,Student in an Organized Health Care Education/Training Program,22,,
1912203670,AHLUWALIA,HARPREET,6120,CT,Dentist,29,,
1255502191,AHMAD,AMIR,6360,CT,Internal Medicine,253,13,5.14%
1164734372,AHMAD,ASHFAQ,6877,CT,Dentist,46,,
1679893069,AHMAD,ASIMA,6510,CT,Student in an Organized Health Care Education/Training Program,13,,
1396065645,AHMAD,IMAD,6030,CT,Internal Medicine,114,,
1568672426,AHMAD,SHARJEEL,6120,CT,Infectious Disease,432,,
1386063840,AHMAD,SIAMA,6032,CT,Nurse Practitioner,47,,
1104955699,AHMAD,TARIQ,6520,CT,Internal Medicine,120,0,0.00%
1124009451,AHMADI,RAMIN,6418,CT,Dermatology,32,0,0.00%
1023055506,AHMADIAN,FERESHTEH,6824,CT,Internal Medicine,6262,155,2.48%
1366602880,AHMED,AHMED,6102,CT,Internal Medicine,72,0,0.00%
1174685556,AHMED,AMINA,6804,CT,Obstetrics/Gynecology,35,0,0.00%
1184692089,AHMED,ANEES,6040,CT,Psychiatry,4858,0,0.00%
1487684742,AHMED,AYESHA,6002,CT,Psychiatry,842,0,0.00%
1639245848,AHMED,BATUL,6112,CT,Psychiatry & Neurology,129,0,0.00%
1053536219,AHMED,IMDAD,6510,CT,Internal Medicine,27,,
1730219403,AHMED,IRSHAD,6112,CT,Psychiatry,2493,,
1235391756,AHMED,MOHAMED,6810,CT,Internal Medicine,138,,
1942427224,AHMED,MOIN,6460,CT,Dentist,39,,
1508272923,AHMED,NAYLA,6105,CT,Student in an Organized Health Care Education/Training Program,51,,
1245210764,AHMED,SHEIKH,6108,CT,Pediatric Medicine,1298,36,2.77%
1699113050,AHN,CHANOOK,6510,CT,Student in an Organized Health Care Education/Training Program,25,,
1750565016,AHN,KYUNG HEUP,6519,CT,Psychiatry,27,,
1659431716,AHOLA,SAUL,6241,CT,Internal Medicine,21,,
1932513488,AHOUBIM,AFSHIN,6810,CT,Student in an Organized Health Care Education/Training Program,41,0,0.00%
1124468350,AHRAM,HAYA,6105,CT,Student in an Organized Health Care Education/Training Program,293,,
1417389735,AHRENS,RICHARD,6010,CT,Physician Assistant,32,21,65.62%
1639211931,AHUJA,AJAY,6905,CT,Internal Medicine,206,16,7.77%
1285857573,AILLEO,ROBERT,6807,CT,Dentist,59,,
1811005713,AITHAL,KESHAVA,6457,CT,Cardiology,6889,,
1902870280,AIUDI,DONNA,6033,CT,Dermatology,460,0,0.00%
1275762239,AJAYI,FOLASADE,6030,CT,Student in an Organized Health Care Education/Training Program,567,,
1477731461,AJAZ,FATIMA,6030,CT,Pulmonary Disease,273,,
1558467266,AJJAGOTTU,VIJAYA,6111,CT,Internal Medicine,198,0,0.00%
1942550991,AJRO,ANTIGONA,6790,CT,Nurse Practitioner,632,28,4.43%
1073709259,AKANDE,OLUKEMI,6504,CT,Internal Medicine,28,,
1558430058,AKAR,JOSEPH,6520,CT,Cardiac Electrophysiology,94,0,0.00%
1881951010,AKBAR,SHARAREH,6810,CT,Student in an Organized Health Care Education/Training Program,12,0,0.00%
1427079789,AKEYSON,EDWARD,6451,CT,Neurosurgery,324,141,43.52%
1740446830,AKINBO,OLUWASEUN,6518,CT,Orthopedic Surgery,16,,
1295000545,AKINNIYI,DEBORAH,6510,CT,Student in an Organized Health Care Education/Training Program,35,,
1790031318,AKINPELU,OYINKANSOLA,6519,CT,Nurse Practitioner,1501,56,3.73%
1184037723,AKOLKAR,NAMITA,6030,CT,Student in an Organized Health Care Education/Training Program,21,15,71.43%
1760625289,AKPAN,IMO,6510,CT,Internal Medicine,2641,144,5.45%
1568462760,AKUS,JAN,6360,CT,Internal Medicine,3838,96,2.50%
1912282948,AL KHALIL,IMRAN,6510,CT,Internal Medicine,319,15,4.70%
1093717837,AL MOUNAYER,MUHAMMAD,6492,CT,Internal Medicine,61,,
1427397926,AL ZAHMI,FATMAH,6030,CT,Student in an Organized Health Care Education/Training Program,206,,
1861477069,AL-KHAYER,FADI,6268,CT,Internal Medicine,2039,0,0.00%
1174816094,ALAEE,FARHANG,6030,CT,Student in an Organized Health Care Education/Training Program,11,,
1609148477,ALAHMADI,HUSSEIN,6051,CT,Neurosurgery,136,86,63.24%
1417029877,ALAIGH,RAVINDER,6905,CT,Family Practice,1451,,
1689766552,ALAIGH,SADHNA,6905,CT,Family Practice,703,11,1.56%
1467529271,ALAM,MALLICK,6513,CT,Family Practice,248,0,0.00%
1588645410,ALAPARTHI,LATHA,6518,CT,Gastroenterology,1604,11,0.69%
1003072786,ALASIL,TAREK,6510,CT,Internal Medicine,98,,
1871767657,ALAVI,SARA,6510,CT,Internal Medicine,40,,
1336371566,ALBAJRAMI,OLTJON,6706,CT,Internal Medicine,137,,
1235264920,ALBANO,DINA,6708,CT,Dentist,28,,
1730480773,ALBERGHINI,LEA,6702,CT,Nurse Practitioner,20,,
1407878754,ALBERGO,PATRICK,6107,CT,Ophthalmology,1766,,
1891714424,ALBERO,ANGELA,6519,CT,Physician Assistant,270,24,8.89%
1720120041,ALBERT,JOEL,6883,CT,Neuropsychiatry,170,0,0.00%
1003960360,ALBERT,RONALD,6042,CT,Dentist,19,0,0.00%
1124291448,ALBERT,ROSS,6102,CT,Internal Medicine,3555,218,6.13%
1124021183,ALBERTI,ALFRED,6051,CT,Internal Medicine,12847,279,2.17%
1821101080,ALBERTI,PAUL,6473,CT,Otolaryngology,423,,
1811992639,ALBERTSEN,PETER,6030,CT,Urology,901,,
1295906345,ALBIN,DMITRY,6712,CT,Internal Medicine,4697,231,4.92%
1730134107,ALBINI,GLORIANN,6611,CT,Nurse Practitioner,13,,
1518921907,ALBINI,MARK,6706,CT,Obstetrics/Gynecology,335,,
1568445435,ALBRECHT,RICHARD,6333,CT,General Practice,1957,124,6.34%
1144225970,ALBRESKI,DOUGLAS,6030,CT,Podiatry,297,,
1609892058,ALBRIGHT,MELANIE,6611,CT,Certified Nurse Midwife,28,0,0.00%
1700034717,ALBRYCHT,SHAWNA,6052,CT,Physician Assistant,69,17,24.64%
1851605661,ALBUQUERQUE,FELIPE,6511,CT,Student in an Organized Health Care Education/Training Program,13,,
1992910566,ALCANTARA,AURORA,6810,CT,Psychiatry & Neurology,191,,
1891866059,ALCANTARA-CADILLO,DELLY,6516,CT,Internal Medicine,84,,
1225091713,ALCEDO,FRANCIS,6611,CT,Internal Medicine,9132,218,2.39%
1417245499,ALDAAS,FADI,6610,CT,Internal Medicine,164,,
1962544098,ALDAY,GUSTAVO,6810,CT,Internal Medicine,92,,
1902839871,ALDER,WILLIAM,6105,CT,Psychiatry,438,13,2.97%
1992108757,ALDRICH,JENNIFER,6708,CT,Physician Assistant,17,,
1437146057,ALEALI,SEYED,6824,CT,Hematology/Oncology,2256,63,2.79%
1447318589,ALEDORT,ROBERT,6811,CT,Dentist,45,,
1558495689,ALEKSHUN,TODD,6106,CT,Hematology/Oncology,1304,149,11.43%
1588676860,ALERTE,ANTON,6112,CT,Pediatric Medicine,27,0,0.00%
1447285986,ALESSANDRO,JOSEPH,6239,CT,Geriatric Medicine,33470,1084,3.24%
1174573612,ALESSI,ANTHONY,6360,CT,Neurology,156,,
1255742326,ALESSI,STEPHANIE,6102,CT,Student in an Organized Health Care Education/Training Program,93,0,0.00%
1245397090,ALEXANDER,CHARLES,6890,CT,Psychiatry & Neurology,1365,0,0.00%
1427171263,ALEXANDER,GERALD,6511,CT,Dentist,15,0,0.00%
1306825260,ALEXANDER,JAMES,6824,CT,Psychiatry,1505,18,1.20%
1710921754,ALEXANDER,JONATHAN,6810,CT,Cardiology,3800,0,0.00%
1457761512,ALEXANDER,LIDYA,6902,CT,Student in an Organized Health Care Education/Training Program,13,,
1316975535,ALEXANDER,LISA,6516,CT,Nurse Practitioner,656,,
1568449262,ALEXANDER,NANETTE,6033,CT,Nurse Practitioner,4964,191,3.85%
1346361284,ALEXANDER,ROBERT,6107,CT,Dentist,36,,
1871671156,ALEXANDER,VICTOR,6360,CT,Emergency Medicine,344,71,20.64%
1487687570,ALFIRII,ALINA,6511,CT,Infectious Disease,1582,0,0.00%
1841583994,ALFONSO,HEATHER,6418,CT,Nurse Practitioner,9863,6240,63.27%
1932337326,ALFONZO,MICHAEL,6510,CT,Emergency Medicine,44,0,0.00%
1063464261,ALI,AURANGZEB,6451,CT,General Surgery,433,133,30.72%
1184867343,ALI,HINA,6511,CT,Dentist,17,,
1942530977,ALI,IFTIKHAR,6615,CT,Internal Medicine,46,0,0.00%
1093133134,ALI,IMRAN,6610,CT,Student in an Organized Health Care Education/Training Program,133,,
1134477599,ALI,MAHBOOB,6606,CT,Internal Medicine,152,,
1932490786,ALI,RAHMAT,6510,CT,Student in an Organized Health Care Education/Training Program,22,,
1699836494,ALI,RUBINA,6108,CT,Dentist,14,,
1730414863,ALI,SAMAN,6120,CT,Internal Medicine,688,16,2.33%
1194923128,ALI,SYED,6105,CT,Internal Medicine,617,13,2.11%
1578819884,ALI,TABASSUM,6710,CT,Nurse Practitioner,14,0,0.00%
1497031181,ALICEA,ROCIO,6477,CT,Optometry,622,0,0.00%
1205040219,ALIMONTI,LOIS,6069,CT,Nurse Practitioner,114,,
1003857707,ALJANABY,MOHAMMAD,6119,CT,Physical Medicine and Rehabilitation,23,0,0.00%
1821359704,ALJAWHARY,NOHA,6105,CT,Student in an Organized Health Care Education/Training Program,31,,
1992996078,ALKASS,RAMZI,6030,CT,Obstetrics/Gynecology,173,,
1477870798,ALKASSIS,SALAM,6510,CT,Student in an Organized Health Care Education/Training Program,12,,
1174795751,ALKHATIB,ABED,6606,CT,Oral Surgery (dentists only),196,63,32.14%
1699786848,ALLAM,ABDEL,6010,CT,Otolaryngology,101,0,0.00%
1538276159,ALLAN,THOMAS,6117,CT,Obstetrics/Gynecology,336,,
1326155367,ALLARD,ELIZABETH,6320,CT,Family Practice,4214,268,6.36%
1598934747,ALLARD,JASON,6360,CT,Physician Assistant,11,,
1407043557,ALLATIN,ASHLEY,6451,CT,Physician Assistant,22,,
1760717359,ALLATIN,MARILYN,6457,CT,Nurse Practitioner,201,13,6.47%
1700949179,ALLEGRINI,MICHAEL,6437,CT,Physician Assistant,3251,92,2.83%
1922106053,ALLEMAN,KIM,6102,CT,Nurse Practitioner,3629,,
1639438971,ALLEMAN,MATTHEW,6510,CT,Student in an Organized Health Care Education/Training Program,85,46,54.12%
1710232947,ALLEN,AUDREY,6320,CT,Certified Clinical Nurse Specialist,167,,
1881892529,ALLEN,BRIAN,6032,CT,General Surgery,13,,
1174800031,ALLEN,CAROLYN,6706,CT,Physician Assistant,252,60,23.81%
1003934282,ALLEN,CHRISTOPHER,6851,CT,Certified Clinical Nurse Specialist,25,0,0.00%
1700967601,ALLEN,EDWARD,6437,CT,Psychiatry & Neurology,21,0,0.00%
1285748434,ALLEN,HENRY,6776,CT,Family Practice,3291,127,3.86%
1659393999,ALLEN,HENRY,6460,CT,Psychiatry,292,,
1124205661,ALLEN,JEREMY,6052,CT,Physician Assistant,308,27,8.77%
1588690374,ALLEN,JERILYN,6226,CT,Otolaryngology,299,,
1760556955,ALLEN,JOEL,6605,CT,Obstetrics/Gynecology,18,0,0.00%
1154393502,ALLEN,JOHN,6510,CT,Gastroenterology,105,0,0.00%
1891871273,ALLEN,JOHN,6320,CT,Dentist,25,0,0.00%
1538242094,ALLEN,JONATHAN,6450,CT,Psychiatry,187,,
1093034431,ALLEN,MARIA,6052,CT,Physician Assistant,24,14,58.33%
1932115128,ALLEN,RICHARD,6450,CT,Urology,2440,63,2.58%
1376854141,ALLEN,SARAH,6610,CT,Specialist,23,,
1013913524,ALLEN,SCOTT,6030,CT,Internal Medicine,2556,147,5.75%
1720047921,ALLEN,TERESA,6260,CT,Emergency Medicine,15,,
1982020350,ALLEN,TRACEY,6084,CT,Nurse Practitioner,83,0,0.00%
1821060369,ALLEN,WILLIAM,6457,CT,Emergency Medicine,82,16,19.51%
1518938778,ALLEVA,ANTHONY,6830,CT,Internal Medicine,7162,65,0.91%
1316991136,ALLEYNE,KENNETH,6074,CT,Orthopedic Surgery,407,107,26.29%
1144403817,ALLGOOD,MONIQUE,6457,CT,Nurse Practitioner,258,0,0.00%
1497870273,ALLIGER,JASON,6708,CT,Dentist,84,12,14.29%
1366641680,ALLING,JEAN-MARC,6901,CT,Optometry,19,0,0.00%
1194790329,ALLISON,SANDRA,6518,CT,Physician Assistant,322,,
1881662450,ALLOY,STEPHEN,6042,CT,Psychiatry,3579,,
1073712709,ALLURI,NITYA,6030,CT,Hematology,85,,
1760740161,ALLY,IMRAN,6810,CT,Student in an Organized Health Care Education/Training Program,280,,
1750635801,ALLY,INSAF,6320,CT,Internal Medicine,85,12,14.12%
1912321803,ALLYN,DAVID,6850,CT,Physician Assistant,89,,
1932258373,ALMEIDA,ALICIA,6770,CT,Dentist,31,0,0.00%
1588633036,ALMEIDA,CARLOS,6712,CT,Internal Medicine,6270,168,2.68%
1457592164,ALMEIDA-MCGLOTTEN,DINA,6489,CT,Nurse Practitioner,785,278,35.41%
1164684528,ALMOUZAYN,MOUMEN,6030,CT,Student in an Organized Health Care Education/Training Program,69,,
1851731210,ALMUNAJED,HUSAM,6030,CT,Student in an Organized Health Care Education/Training Program,36,,
1770802357,ALONZO,CATHERINE,6830,CT,Urology,1105,13,1.18%
1912149238,ALOSCO,LOUIS,6810,CT,Pediatric Medicine,14,0,0.00%
1215124698,ALOSCO,THOMAS,6708,CT,General Surgery,111,13,11.71%
1558449868,ALPER,MICHAEL,6804,CT,Emergency Medicine,622,13,2.09%
1316910185,ALPERT,LANCE,6040,CT,Optometry,81,0,0.00%
1639346380,ALREJA,GAURAV,6032,CT,Internal Medicine,211,,
1235395211,ALSALAHI,SALAH,6040,CT,Internal Medicine,220,,
1174734768,ALSAMARAI,SUSAN,6451,CT,Hematology/Oncology,367,52,14.17%
1205933462,ALSEN PISCIONERI,LAURA,6040,CT,Certified Nurse Midwife,64,0,0.00%
1275802852,ALSHELLEH,MOHAMMAD,6102,CT,Internal Medicine,136,0,0.00%
1568495604,ALSTON,SHAWNETTE,6706,CT,Internal Medicine,1359,87,6.40%
