State,State Name,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,Footnote
AK,Alaska,2015,July,12 month-ending,Number of Drug Overdose Deaths,117,100,0,
AK,Alaska,2015,August,12 month-ending,Number of Drug Overdose Deaths,124,100,0,
AK,Alaska,2015,September,12 month-ending,Number of Drug Overdose Deaths,125,100,0,
AK,Alaska,2015,October,12 month-ending,Number of Drug Overdose Deaths,120,100,0,
AK,Alaska,2015,November,12 month-ending,Number of Drug Overdose Deaths,115,100,0,
AK,Alaska,2015,December,12 month-ending,Number of Drug Overdose Deaths,121,100,0,
AK,Alaska,2016,May,12 month-ending,Number of Drug Overdose Deaths,140,100,0,
AK,Alaska,2016,February,12 month-ending,Number of Drug Overdose Deaths,128,100,0,
AK,Alaska,2016,March,12 month-ending,Number of Drug Overdose Deaths,125,100,0,
AK,Alaska,2016,April,12 month-ending,Number of Drug Overdose Deaths,132,100,0,
AK,Alaska,2016,September,12 month-ending,Number of Drug Overdose Deaths,131,100,0.0469814423,
AK,Alaska,2016,June,12 month-ending,Number of Drug Overdose Deaths,138,100,0,
AK,Alaska,2016,July,12 month-ending,Number of Drug Overdose Deaths,143,100,0,
AK,Alaska,2016,August,12 month-ending,Number of Drug Overdose Deaths,138,100,0.0233863424,
AK,Alaska,2016,October,12 month-ending,Number of Drug Overdose Deaths,131,100,0.0698974837,
AK,Alaska,2016,November,12 month-ending,Number of Drug Overdose Deaths,133,100,0.069913773,
AL,Alabama,2015,April,12 month-ending,Number of Deaths,50565,100,0.3164244042,
AL,Alabama,2016,March,12 month-ending,Number of Deaths,50348,100,0.2820370223,
AL,Alabama,2016,April,12 month-ending,Number of Deaths,50391,100,0.2798118712,
AL,Alabama,2016,May,12 month-ending,Number of Deaths,50511,100,0.28310665,
AL,Alabama,2015,May,12 month-ending,Number of Deaths,50516,100,0.3187109035,
AL,Alabama,2015,June,12 month-ending,Number of Deaths,50658,100,0.3415057839,
AL,Alabama,2015,July,12 month-ending,Number of Deaths,50841,100,0.3304419661,
AL,Alabama,2015,August,12 month-ending,Number of Deaths,50930,100,0.3318279992,
AL,Alabama,2015,September,12 month-ending,Number of Deaths,51044,100,0.323250529,
AL,Alabama,2015,October,12 month-ending,Number of Deaths,51091,100,0.3092521188,
AL,Alabama,2015,November,12 month-ending,Number of Deaths,51093,100,0.2935822911,
AL,Alabama,2015,December,12 month-ending,Number of Deaths,50870,100,0.3105956359,
AL,Alabama,2016,January,12 month-ending,Number of Deaths,50534,100,0.3027664543,
AL,Alabama,2016,February,12 month-ending,Number of Deaths,50555,100,0.2828602512,
AL,Alabama,2015,January,12 month-ending,Number of Deaths,49543,100,0.3370809196,
AL,Alabama,2015,February,12 month-ending,Number of Deaths,50004,100,0.3239740821,
AL,Alabama,2015,March,12 month-ending,Number of Deaths,50486,100,0.3089965535,
AL,Alabama,2015,January,12 month-ending,Number of Drug Overdose Deaths,715,100,0.3370809196,
AL,Alabama,2015,February,12 month-ending,Number of Drug Overdose Deaths,723,100,0.3239740821,
AL,Alabama,2015,March,12 month-ending,Number of Drug Overdose Deaths,733,100,0.3089965535,
AL,Alabama,2015,April,12 month-ending,Number of Drug Overdose Deaths,738,100,0.3164244042,
AL,Alabama,2015,May,12 month-ending,Number of Drug Overdose Deaths,755,100,0.3187109035,
AL,Alabama,2015,June,12 month-ending,Number of Drug Overdose Deaths,756,100,0.3415057839,
AL,Alabama,2015,July,12 month-ending,Number of Drug Overdose Deaths,743,100,0.3304419661,
AL,Alabama,2015,August,12 month-ending,Number of Drug Overdose Deaths,736,100,0.3318279992,
AL,Alabama,2015,September,12 month-ending,Number of Drug Overdose Deaths,744,100,0.323250529,
AL,Alabama,2015,October,12 month-ending,Number of Drug Overdose Deaths,730,100,0.3092521188,
AL,Alabama,2015,November,12 month-ending,Number of Drug Overdose Deaths,725,100,0.2935822911,
AL,Alabama,2015,December,12 month-ending,Number of Drug Overdose Deaths,720,100,0.3105956359,
AL,Alabama,2016,January,12 month-ending,Number of Drug Overdose Deaths,706,100,0.3027664543,
AL,Alabama,2016,February,12 month-ending,Number of Drug Overdose Deaths,710,100,0.2828602512,
AL,Alabama,2016,March,12 month-ending,Number of Drug Overdose Deaths,681,100,0.2820370223,
AL,Alabama,2016,April,12 month-ending,Number of Drug Overdose Deaths,676,100,0.2798118712,
AL,Alabama,2016,May,12 month-ending,Number of Drug Overdose Deaths,654,100,0.28310665,
AL,Alabama,2016,June,12 month-ending,Number of Drug Overdose Deaths,674,100,0.2647541146,
AL,Alabama,2016,July,12 month-ending,Number of Drug Overdose Deaths,681,100,0.2781997909,
AL,Alabama,2016,August,12 month-ending,Number of Drug Overdose Deaths,685,100,0.2640081961,
AL,Alabama,2016,September,12 month-ending,Number of Drug Overdose Deaths,695,100,0.2656957292,
AL,Alabama,2016,October,12 month-ending,Number of Drug Overdose Deaths,704,100,0.287011736,
AL,Alabama,2016,November,12 month-ending,Number of Drug Overdose Deaths,718,100,0.2758755625,
AL,Alabama,2016,December,12 month-ending,Number of Drug Overdose Deaths,740,100,0.2702597605,
AL,Alabama,2017,January,12 month-ending,Number of Drug Overdose Deaths,755,100,0.2865662394,*Likely underreported due to incomplete data
AL,Alabama,2017,February,12 month-ending,Number of Drug Overdose Deaths,749,100,0.3182859139,*Likely underreported due to incomplete data
AL,Alabama,2016,July,12 month-ending,Number of Deaths,50683,100,0.2781997909,
AL,Alabama,2016,August,12 month-ending,Number of Deaths,50756,100,0.2640081961,
AL,Alabama,2016,September,12 month-ending,Number of Deaths,50810,100,0.2656957292,
AL,Alabama,2016,June,12 month-ending,Number of Deaths,50613,100,0.2647541146,
AL,Alabama,2016,November,12 month-ending,Number of Deaths,51110,100,0.2758755625,
AL,Alabama,2016,December,12 month-ending,Number of Deaths,51432,100,0.2702597605,
AL,Alabama,2017,January,12 month-ending,Number of Deaths,51646,100,0.2865662394,*Likely underreported due to incomplete data
AL,Alabama,2016,October,12 month-ending,Number of Deaths,50869,100,0.287011736,
AL,Alabama,2017,February,12 month-ending,Number of Deaths,51526,100,0.3182859139,*Likely underreported due to incomplete data
AR,Arkansas,2015,January,12 month-ending,Number of Drug Overdose Deaths,366,100,0.0497974902,
AR,Arkansas,2015,February,12 month-ending,Number of Drug Overdose Deaths,366,100,0.046155875,
AR,Arkansas,2015,March,12 month-ending,Number of Drug Overdose Deaths,385,100,0.0460723336,
AR,Arkansas,2016,January,12 month-ending,Number of Drug Overdose Deaths,378,100,0.0718390805,
AR,Arkansas,2016,February,12 month-ending,Number of Drug Overdose Deaths,379,100,0.0723374873,
AR,Arkansas,2016,March,12 month-ending,Number of Drug Overdose Deaths,363,100,0.0756056671,
AR,Arkansas,2016,April,12 month-ending,Number of Drug Overdose Deaths,372,100,0.0787169143,
AR,Arkansas,2015,April,12 month-ending,Number of Drug Overdose Deaths,373,100,0.0394166338,
AR,Arkansas,2015,May,12 month-ending,Number of Drug Overdose Deaths,383,100,0.0424808836,
AR,Arkansas,2015,June,12 month-ending,Number of Drug Overdose Deaths,391,100,0.0423149535,
AR,Arkansas,2015,July,12 month-ending,Number of Drug Overdose Deaths,395,100,0.0488838195,
AR,Arkansas,2015,August,12 month-ending,Number of Drug Overdose Deaths,398,100,0.0485688382,
AR,Arkansas,2015,September,12 month-ending,Number of Drug Overdose Deaths,392,100,0.0614270473,
AR,Arkansas,2015,October,12 month-ending,Number of Drug Overdose Deaths,397,100,0.058036434,
AR,Arkansas,2015,November,12 month-ending,Number of Drug Overdose Deaths,389,100,0.061276486,
AR,Arkansas,2015,December,12 month-ending,Number of Drug Overdose Deaths,381,100,0.0709998064,
AR,Arkansas,2017,February,12 month-ending,Number of Drug Overdose Deaths,376,100,0.0899338344,*Likely underreported due to incomplete data
AR,Arkansas,2015,February,12 month-ending,Number of Deaths,30332,100,0.046155875,
AR,Arkansas,2015,March,12 month-ending,Number of Deaths,30387,100,0.0460723336,
AR,Arkansas,2015,April,12 month-ending,Number of Deaths,30444,100,0.0394166338,
AR,Arkansas,2016,May,12 month-ending,Number of Drug Overdose Deaths,376,100,0.0790487797,
AZ,Arizona,2015,May,12 month-ending,Number of Deaths,53225,100,0.3363081259,
AR,Arkansas,2016,June,12 month-ending,Number of Drug Overdose Deaths,369,100,0.0788565796,
AR,Arkansas,2016,July,12 month-ending,Number of Drug Overdose Deaths,378,100,0.0751855121,
AR,Arkansas,2016,August,12 month-ending,Number of Drug Overdose Deaths,383,100,0.0787169143,
AR,Arkansas,2016,September,12 month-ending,Number of Drug Overdose Deaths,379,100,0.0687600275,
DE,Delaware,2015,March,12 month-ending,Number of Deaths,8551,100,0,
AR,Arkansas,2016,October,12 month-ending,Number of Drug Overdose Deaths,372,100,0.0754320947,
AR,Arkansas,2016,November,12 month-ending,Number of Drug Overdose Deaths,378,100,0.0749210072,
AR,Arkansas,2016,December,12 month-ending,Number of Drug Overdose Deaths,386,100,0.0708991299,
AR,Arkansas,2017,January,12 month-ending,Number of Drug Overdose Deaths,383,100,0.0771555327,*Likely underreported due to incomplete data
AR,Arkansas,2015,January,12 month-ending,Number of Deaths,30122,100,0.0497974902,
AR,Arkansas,2016,March,12 month-ending,Number of Deaths,30421,100,0.0756056671,
AR,Arkansas,2016,April,12 month-ending,Number of Deaths,30489,100,0.0787169143,
AR,Arkansas,2016,May,12 month-ending,Number of Deaths,30361,100,0.0790487797,
AR,Arkansas,2015,May,12 month-ending,Number of Deaths,30602,100,0.0424808836,
AR,Arkansas,2015,June,12 month-ending,Number of Deaths,30722,100,0.0423149535,
AR,Arkansas,2015,July,12 month-ending,Number of Deaths,30685,100,0.0488838195,
AR,Arkansas,2015,August,12 month-ending,Number of Deaths,30884,100,0.0485688382,
AR,Arkansas,2015,September,12 month-ending,Number of Deaths,30931,100,0.0614270473,
AR,Arkansas,2015,October,12 month-ending,Number of Deaths,31015,100,0.058036434,
AR,Arkansas,2015,November,12 month-ending,Number of Deaths,31007,100,0.061276486,
AR,Arkansas,2015,December,12 month-ending,Number of Deaths,30986,100,0.0709998064,
AR,Arkansas,2016,January,12 month-ending,Number of Deaths,30624,100,0.0718390805,
AR,Arkansas,2016,February,12 month-ending,Number of Deaths,30413,100,0.0723374873,
AR,Arkansas,2016,July,12 month-ending,Number of Deaths,30591,100,0.0751855121,
AR,Arkansas,2016,August,12 month-ending,Number of Deaths,30489,100,0.0787169143,
AR,Arkansas,2016,September,12 month-ending,Number of Deaths,30541,100,0.0687600275,
AR,Arkansas,2016,June,12 month-ending,Number of Deaths,30435,100,0.0788565796,
AR,Arkansas,2016,November,12 month-ending,Number of Deaths,30699,100,0.0749210072,
AR,Arkansas,2016,December,12 month-ending,Number of Deaths,31030,100,0.0708991299,
AR,Arkansas,2017,January,12 month-ending,Number of Deaths,31106,100,0.0771555327,*Likely underreported due to incomplete data
AR,Arkansas,2016,October,12 month-ending,Number of Deaths,30491,100,0.0754320947,
AR,Arkansas,2017,February,12 month-ending,Number of Deaths,31134,100,0.0899338344,*Likely underreported due to incomplete data
AZ,Arizona,2015,January,12 month-ending,Number of Drug Overdose Deaths,1193,100,0.3266974896,
AZ,Arizona,2015,February,12 month-ending,Number of Drug Overdose Deaths,1175,100,0.3494300281,
AZ,Arizona,2015,March,12 month-ending,Number of Drug Overdose Deaths,1174,100,0.3426343089,
AZ,Arizona,2015,January,12 month-ending,Number of Deaths,52342,100,0.3266974896,
AZ,Arizona,2015,February,12 month-ending,Number of Deaths,52371,100,0.3494300281,
AZ,Arizona,2015,March,12 month-ending,Number of Deaths,52826,100,0.3426343089,
AZ,Arizona,2015,April,12 month-ending,Number of Deaths,53025,100,0.3413484206,
AZ,Arizona,2015,April,12 month-ending,Number of Drug Overdose Deaths,1173,100,0.3413484206,
AZ,Arizona,2015,May,12 month-ending,Number of Drug Overdose Deaths,1184,100,0.3363081259,
AZ,Arizona,2015,June,12 month-ending,Number of Drug Overdose Deaths,1209,100,0.3348172534,
AZ,Arizona,2015,July,12 month-ending,Number of Drug Overdose Deaths,1201,100,0.3241128807,
AZ,Arizona,2015,August,12 month-ending,Number of Drug Overdose Deaths,1240,100,0.2930973714,
AZ,Arizona,2015,September,12 month-ending,Number of Drug Overdose Deaths,1241,100,0.2700802841,
AZ,Arizona,2015,October,12 month-ending,Number of Drug Overdose Deaths,1264,100,0.2494364584,
AZ,Arizona,2015,November,12 month-ending,Number of Drug Overdose Deaths,1269,100,0.2241781665,
AZ,Arizona,2015,December,12 month-ending,Number of Drug Overdose Deaths,1267,100,0.1968898693,
AZ,Arizona,2016,January,12 month-ending,Number of Drug Overdose Deaths,1298,100,0.1602418195,
AZ,Arizona,2016,February,12 month-ending,Number of Drug Overdose Deaths,1307,100,0.139897767,
AZ,Arizona,2016,March,12 month-ending,Number of Drug Overdose Deaths,1313,100,0.1544771747,
AZ,Arizona,2016,April,12 month-ending,Number of Drug Overdose Deaths,1335,100,0.1736480261,
AZ,Arizona,2016,May,12 month-ending,Number of Drug Overdose Deaths,1350,100,0.2016913768,
AZ,Arizona,2016,June,12 month-ending,Number of Drug Overdose Deaths,1370,100,0.2612625335,
AZ,Arizona,2016,July,12 month-ending,Number of Drug Overdose Deaths,1421,100,0.3323661303,
AZ,Arizona,2016,August,12 month-ending,Number of Drug Overdose Deaths,1410,100,0.3721910112,
AZ,Arizona,2016,September,12 month-ending,Number of Drug Overdose Deaths,1404,100,0.3943839722,
AZ,Arizona,2016,October,12 month-ending,Number of Drug Overdose Deaths,1405,100,0.464409798,
AZ,Arizona,2016,November,12 month-ending,Number of Drug Overdose Deaths,1397,100,0.5205058339,
AZ,Arizona,2016,December,12 month-ending,Number of Drug Overdose Deaths,1393,100,0.6187080537,
AZ,Arizona,2017,January,12 month-ending,Number of Drug Overdose Deaths,1404,100,0.6903422,*Likely underreported due to incomplete data
AZ,Arizona,2017,February,12 month-ending,Number of Drug Overdose Deaths,1385,100,0.7684833495,*Likely underreported due to incomplete data
AZ,Arizona,2016,March,12 month-ending,Number of Deaths,56319,100,0.1544771747,
AZ,Arizona,2016,April,12 month-ending,Number of Deaths,56436,100,0.1736480261,
AZ,Arizona,2016,May,12 month-ending,Number of Deaths,56522,100,0.2016913768,
AZ,Arizona,2016,June,12 month-ending,Number of Deaths,56648,100,0.2612625335,
AZ,Arizona,2015,June,12 month-ending,Number of Deaths,53462,100,0.3348172534,
AZ,Arizona,2015,July,12 month-ending,Number of Deaths,53685,100,0.3241128807,
AZ,Arizona,2015,August,12 month-ending,Number of Deaths,53907,100,0.2930973714,
AZ,Arizona,2015,September,12 month-ending,Number of Deaths,54058,100,0.2700802841,
AZ,Arizona,2015,October,12 month-ending,Number of Deaths,54122,100,0.2494364584,
AZ,Arizona,2015,November,12 month-ending,Number of Deaths,54421,100,0.2241781665,
AZ,Arizona,2015,December,12 month-ending,Number of Deaths,54853,100,0.1968898693,
AZ,Arizona,2016,January,12 month-ending,Number of Deaths,54917,100,0.1602418195,
AZ,Arizona,2016,February,12 month-ending,Number of Deaths,55755,100,0.139897767,
AZ,Arizona,2016,July,12 month-ending,Number of Deaths,56865,100,0.3323661303,
AZ,Arizona,2016,August,12 month-ending,Number of Deaths,56960,100,0.3721910112,
AZ,Arizona,2016,September,12 month-ending,Number of Deaths,57051,100,0.3943839722,
AZ,Arizona,2016,October,12 month-ending,Number of Deaths,57277,100,0.464409798,
AZ,Arizona,2016,November,12 month-ending,Number of Deaths,57252,100,0.5205058339,
AZ,Arizona,2016,December,12 month-ending,Number of Deaths,57216,100,0.6187080537,
AZ,Arizona,2017,January,12 month-ending,Number of Deaths,57218,100,0.6903422,*Likely underreported due to incomplete data
AZ,Arizona,2017,February,12 month-ending,Number of Deaths,56605,100,0.7684833495,*Likely underreported due to incomplete data
CA,California,2015,January,12 month-ending,Number of Drug Overdose Deaths,4603,100,0.2381230585,
CA,California,2015,February,12 month-ending,Number of Drug Overdose Deaths,4616,100,0.2308738796,
CA,California,2015,March,12 month-ending,Number of Drug Overdose Deaths,4608,100,0.2246163632,
CA,California,2015,April,12 month-ending,Number of Drug Overdose Deaths,4625,100,0.2226783899,
CA,California,2016,January,12 month-ending,Number of Drug Overdose Deaths,4745,100,0.359812111,
CA,California,2016,February,12 month-ending,Number of Drug Overdose Deaths,4745,100,0.3639057684,
CA,California,2016,March,12 month-ending,Number of Drug Overdose Deaths,4768,100,0.3714386266,
CA,California,2016,April,12 month-ending,Number of Drug Overdose Deaths,4795,100,0.3776830597,
CA,California,2016,May,12 month-ending,Number of Drug Overdose Deaths,4811,100,0.391883987,
CA,California,2015,May,12 month-ending,Number of Drug Overdose Deaths,4607,100,0.217444398,
CA,California,2015,June,12 month-ending,Number of Drug Overdose Deaths,4604,100,0.2197474474,
CA,California,2015,July,12 month-ending,Number of Drug Overdose Deaths,4628,100,0.2243390221,
CA,California,2015,August,12 month-ending,Number of Drug Overdose Deaths,4670,100,0.2339509639,
CA,California,2015,September,12 month-ending,Number of Drug Overdose Deaths,4747,100,0.2558688458,
CA,California,2015,October,12 month-ending,Number of Drug Overdose Deaths,4784,100,0.2789524733,
CA,California,2015,November,12 month-ending,Number of Drug Overdose Deaths,4747,100,0.308336682,
CA,California,2015,December,12 month-ending,Number of Drug Overdose Deaths,4762,100,0.3559183924,
CA,California,2015,January,12 month-ending,Number of Deaths,248191,100,0.2381230585,
CA,California,2015,February,12 month-ending,Number of Deaths,249920,100,0.2308738796,
CA,California,2015,March,12 month-ending,Number of Deaths,251540,100,0.2246163632,
CA,California,2015,April,12 month-ending,Number of Deaths,252831,100,0.2226783899,
CA,California,2015,May,12 month-ending,Number of Deaths,253858,100,0.217444398,
CA,California,2015,June,12 month-ending,Number of Deaths,254838,100,0.2197474474,
CA,California,2015,July,12 month-ending,Number of Deaths,255417,100,0.2243390221,
CA,California,2015,August,12 month-ending,Number of Deaths,256464,100,0.2339509639,
CA,California,2015,September,12 month-ending,Number of Deaths,257163,100,0.2558688458,
CA,California,2015,October,12 month-ending,Number of Deaths,257750,100,0.2789524733,
CA,California,2015,November,12 month-ending,Number of Deaths,258808,100,0.308336682,
CA,California,2015,December,12 month-ending,Number of Deaths,260172,100,0.3559183924,
CA,California,2016,January,12 month-ending,Number of Deaths,259302,100,0.359812111,
CA,California,2016,February,12 month-ending,Number of Deaths,260507,100,0.3639057684,
CA,California,2016,March,12 month-ending,Number of Deaths,261416,100,0.3714386266,
CA,California,2016,April,12 month-ending,Number of Deaths,261595,100,0.3776830597,
CA,California,2016,May,12 month-ending,Number of Deaths,261557,100,0.391883987,
CA,California,2016,June,12 month-ending,Number of Deaths,261467,100,0.3969908248,
CA,California,2016,July,12 month-ending,Number of Deaths,261604,100,0.4101619241,
CA,California,2016,August,12 month-ending,Number of Deaths,261783,100,0.4201953526,
CA,California,2016,September,12 month-ending,Number of Deaths,262043,100,0.4197784333,
CA,California,2016,October,12 month-ending,Number of Deaths,262754,100,0.4171201961,
CA,California,2016,November,12 month-ending,Number of Deaths,262364,100,0.3929654983,
CA,California,2016,December,12 month-ending,Number of Deaths,263209,100,0.3639693172,
CA,California,2017,January,12 month-ending,Number of Deaths,265326,100,0.4405900666,*Likely underreported due to incomplete data
CA,California,2017,February,12 month-ending,Number of Deaths,264861,100,0.5168748891,*Likely underreported due to incomplete data
CA,California,2016,December,12 month-ending,Number of Drug Overdose Deaths,4755,100,0.3639693172,
CA,California,2017,January,12 month-ending,Number of Drug Overdose Deaths,4703,100,0.4405900666,*Likely underreported due to incomplete data
CA,California,2017,February,12 month-ending,Number of Drug Overdose Deaths,4591,100,0.5168748891,*Likely underreported due to incomplete data
CA,California,2016,September,12 month-ending,Number of Drug Overdose Deaths,4716,100,0.4197784333,
CA,California,2016,June,12 month-ending,Number of Drug Overdose Deaths,4844,100,0.3969908248,
CA,California,2016,July,12 month-ending,Number of Drug Overdose Deaths,4816,100,0.4101619241,
CA,California,2016,August,12 month-ending,Number of Drug Overdose Deaths,4791,100,0.4201953526,
CA,California,2016,October,12 month-ending,Number of Drug Overdose Deaths,4659,100,0.4171201961,
CA,California,2016,November,12 month-ending,Number of Drug Overdose Deaths,4709,100,0.3929654983,
CO,Colorado,2015,April,12 month-ending,Number of Deaths,36601,100,0.0218573263,
CO,Colorado,2015,July,12 month-ending,Number of Deaths,36960,100,0.0351731602,
CO,Colorado,2015,August,12 month-ending,Number of Deaths,37125,100,0.0377104377,
CO,Colorado,2015,May,12 month-ending,Number of Deaths,36667,100,0.0218179835,
CO,Colorado,2015,June,12 month-ending,Number of Deaths,36816,100,0.0244458931,
CO,Colorado,2016,March,12 month-ending,Number of Deaths,37387,100,0.0454703507,
CO,Colorado,2016,April,12 month-ending,Number of Deaths,37351,100,0.0428368718,
CO,Colorado,2016,May,12 month-ending,Number of Deaths,37535,100,0.0426268816,
CO,Colorado,2016,June,12 month-ending,Number of Deaths,37504,100,0.0373293515,
CO,Colorado,2016,July,12 month-ending,Number of Deaths,37620,100,0.0265816055,
CO,Colorado,2016,August,12 month-ending,Number of Deaths,37650,100,0.0292164675,
CO,Colorado,2016,September,12 month-ending,Number of Deaths,37834,100,0.034360628,
CO,Colorado,2015,September,12 month-ending,Number of Deaths,37101,100,0.0431255222,
CO,Colorado,2015,October,12 month-ending,Number of Deaths,37144,100,0.0457678225,
CO,Colorado,2015,November,12 month-ending,Number of Deaths,37144,100,0.0403833728,
CO,Colorado,2015,December,12 month-ending,Number of Deaths,36993,100,0.0405482118,
CO,Colorado,2016,January,12 month-ending,Number of Deaths,36752,100,0.0408141054,
CO,Colorado,2016,February,12 month-ending,Number of Deaths,36987,100,0.0405547895,
CO,Colorado,2017,January,12 month-ending,Number of Drug Overdose Deaths,975,100,0.0418442869,*Likely underreported due to incomplete data
CO,Colorado,2017,February,12 month-ending,Number of Drug Overdose Deaths,965,100,0.0495346351,*Likely underreported due to incomplete data
CO,Colorado,2015,March,12 month-ending,Number of Deaths,36300,100,0.0192837466,
CO,Colorado,2015,January,12 month-ending,Number of Drug Overdose Deaths,923,100,0.0193028899,
CO,Colorado,2015,February,12 month-ending,Number of Drug Overdose Deaths,932,100,0.0192678227,
CO,Colorado,2015,March,12 month-ending,Number of Drug Overdose Deaths,939,100,0.0192837466,
CO,Colorado,2015,April,12 month-ending,Number of Drug Overdose Deaths,950,100,0.0218573263,
CO,Colorado,2016,October,12 month-ending,Number of Deaths,38048,100,0.0262825904,
CO,Colorado,2016,November,12 month-ending,Number of Deaths,38076,100,0.0288895892,
CO,Colorado,2016,December,12 month-ending,Number of Deaths,38152,100,0.0340742294,
CO,Colorado,2017,January,12 month-ending,Number of Deaths,38237,100,0.0418442869,*Likely underreported due to incomplete data
CO,Colorado,2017,February,12 month-ending,Number of Deaths,38357,100,0.0495346351,*Likely underreported due to incomplete data
CO,Colorado,2016,December,12 month-ending,Number of Drug Overdose Deaths,965,100,0.0340742294,
CO,Colorado,2015,January,12 month-ending,Number of Deaths,36264,100,0.0193028899,
CO,Colorado,2015,February,12 month-ending,Number of Deaths,36330,100,0.0192678227,
CO,Colorado,2016,January,12 month-ending,Number of Drug Overdose Deaths,913,100,0.0408141054,
CO,Colorado,2016,February,12 month-ending,Number of Drug Overdose Deaths,912,100,0.0405547895,
CO,Colorado,2016,March,12 month-ending,Number of Drug Overdose Deaths,908,100,0.0454703507,
CO,Colorado,2016,April,12 month-ending,Number of Drug Overdose Deaths,894,100,0.0428368718,
CO,Colorado,2016,May,12 month-ending,Number of Drug Overdose Deaths,915,100,0.0426268816,
CO,Colorado,2015,May,12 month-ending,Number of Drug Overdose Deaths,927,100,0.0218179835,
CO,Colorado,2015,June,12 month-ending,Number of Drug Overdose Deaths,921,100,0.0244458931,
CO,Colorado,2015,July,12 month-ending,Number of Drug Overdose Deaths,918,100,0.0351731602,
CO,Colorado,2015,August,12 month-ending,Number of Drug Overdose Deaths,928,100,0.0377104377,
CO,Colorado,2015,September,12 month-ending,Number of Drug Overdose Deaths,917,100,0.0431255222,
CO,Colorado,2015,October,12 month-ending,Number of Drug Overdose Deaths,915,100,0.0457678225,
CO,Colorado,2015,November,12 month-ending,Number of Drug Overdose Deaths,908,100,0.0403833728,
CO,Colorado,2015,December,12 month-ending,Number of Drug Overdose Deaths,913,100,0.0405482118,
CO,Colorado,2016,September,12 month-ending,Number of Drug Overdose Deaths,933,100,0.034360628,
CO,Colorado,2016,June,12 month-ending,Number of Drug Overdose Deaths,935,100,0.0373293515,
CO,Colorado,2016,July,12 month-ending,Number of Drug Overdose Deaths,928,100,0.0265816055,
CO,Colorado,2016,August,12 month-ending,Number of Drug Overdose Deaths,934,100,0.0292164675,
