Pharmacy-Name,Phone,Credential,Location,Address,City,State,Zip,CredentialId
WHALLEY DRUG,(203) 843-5022,PCY.0002327,"399 WHALLEY AVE
CT 06511-3008
(41.318105, -72.946527)",399 WHALLEY AVE,NEW HAVEN,CT,06511-3008,1323070
MAIN STREET RX INC,855-505-6779,PCY.0002351,"266 S MAIN ST
CT 06470-6706
(41.369173, -73.271059)",266 S MAIN ST STE D-2,NEWTOWN,CT,06470-6706,1398376
MEDICAL ARTS PHARMACY,(203) 590-3737,PCY.0002335,"15 CORPORATE DR
CT 06611-1351
(41.296103, -73.227344)",15 CORPORATE DR STE 1-1,TRUMBULL,CT,06611-1351,1343151
CVS PHARMACY #123,(860) 388-1145,PCY.0001515,"519 BOSTON POST RD
CT 06475-1526
(41.299232, -72.375696)",519 BOSTON POST RD,OLD SAYBROOK,CT,06475-1526,39122
STOP & SHOP PHARMACY #625,(860) 738-2707,PCY.0001595,"200 NEW HARTFORD RD
CT 06098-3373
(41.910699, -73.049787)",200 NEW HARTFORD RD,WINSTED,CT,06098-3373,172022
WALGREENS #06966,(203) 757-1998,PCY.0001812,"11 MERIDEN RD
CT 06705-1933
(41.547074, -73.017417)",11 MERIDEN RD,WATERBURY,CT,06705-1933,314839
ROTARY DRUG,(203) 378-9394,PCY.0000898,"1030 BARNUM AVE
CT 06614-4985
(41.199016, -73.132056)",1030 BARNUM AVE,STRATFORD,CT,06614-4985,246024
WALGREENS #03192,(203) 757-6010,PCY.0001521,"649 W MAIN ST
CT 06702-1082
(41.558338, -73.051138)",649 W MAIN ST,WATERBURY,CT,06702-1082,39125
RITE AID  #10370,(203) 261-6493,PCY.0001366,"435 MAIN ST
CT 06468-1151
(41.322471, -73.265082)",435 MAIN ST,MONROE,CT,06468-1151,38667
STOP & SHOP #623,(860) 346-0160,PCY.0001429,"416 E MAIN ST
CT 06457-4555
(41.545508, -72.638736)",416 E MAIN ST,MIDDLETOWN,CT,06457-4555,245843
CIRCLE CARE CENTER PHARMACY,(203) 957-3366,PCY.0002249,"618 WEST AVE
CT 06850-4008
(41.11351, -73.415561)",618 WEST AVE,NORWALK,CT,06850-4008,1117887
WEST HAVEN PHARMACY,(203) 9347100,PCY.0002294,"764 CAMPBELL AVE
CT 06516-3786
(41.279485, -72.955131)",764 CAMPBELL AVE,WEST HAVEN,CT,06516-3786,1219165
CVS PHARMACY #145,(860) 677-5047,PCY.0001544,"330 MAIN ST
CT 06032-2961
(41.704333, -72.843216)",330 MAIN ST,FARMINGTON,CT,06032-2961,50900
WALGREENS #05406,(203) 230-2803,PCY.0001768,"1191 DIXWELL AVE
CT 06514-4733
(41.345374, -72.934137)",1191 DIXWELL AVE,HAMDEN,CT,06514-4733,258886
CVS PHARMACY #2475,(203) 422-2129,PCY.0000980,"122 E PUTNAM AVE
CT 06807-2720
(41.037311, -73.600798)",122 E PUTNAM AVE,COS COB,CT,06807-2720,513023
CVS PHARMACY #133,(203) 255-1089,PCY.0001561,"698 POST RD
CT 06824-6247
(41.14795, -73.247154)",698 POST RD,FAIRFIELD,CT,06824-6247,134058
CVS PHARMACY #377,(860) 446-0912,PCY.0001142,"915 POQUONNOCK RD
CT 06340-4257
(41.346695, -72.051214)",915 POQUONNOCK RD,GROTON,CT,06340-4257,38023
CVS PHARMACY #2253,(860) 693-8077,PCY.0002248,"111 ALBANY TPKE
CT 06019-2507
(41.824274, -72.885443)",111 ALBANY TPKE,CANTON,CT,06019-2507,1116909
BEACON FALLS PHARMACY LLC,(203) 729-4567,PCY.0002015,"20 NORTH MAIN STREET
CT 06403
(41.443076, -73.062468)",20 NORTH MAIN STREET; P.O. BOX #218,BEACON FALLS,CT,06403,414911
WALGREENS #10119,(860) 828-6844,PCY.0001827,"980 FARMINGTON AVE
CT 06037-2219
(41.632197, -72.762043)",980 FARMINGTON AVE,BERLIN,CT,06037-2219,327763
MEDICAL PHARMACY INC,(860) 423-1661,PCY.0000892,"1213 MAIN ST
CT 06226-1907
(41.714034, -72.225488)",1213 MAIN ST,WILLIMANTIC,CT,06226-1907,37766
CVS PHARMACY #2573,(203) 383-7741,PCY.0001758,"1425 BARNUM AVE
CT 06614-5404
(41.196632, -73.138009)",1425 BARNUM AVE,STRATFORD,CT,06614-5404,243544
CVS/PHARMACY #16712,(203) 634-6060,PCY.0001795,"474 CHAMBERLAIN HWY
CT 06451-1818
(41.552129, -72.813338)",474 CHAMBERLAIN HWY,MERIDEN,CT,06451-1818,286709
GENOA A QOL HEALTHCARE CO LLC,(860) 785-6052,PCY.0002309,"287 MAIN ST
CT 06118-1885
(41.742797, -72.63274)",287 MAIN ST STE A-2,EAST HARTFORD,CT,06118-1885,1273736
CVS PHARMACY #3373,(203) 331-4731,PCY.0001832,"961 BLACK ROCK TPKE
CT 06825-4702
(41.171745, -73.235678)",961 BLACK ROCK TPKE,FAIRFIELD,CT,06825-4702,334996
CVS PHARMACY #1101,(860) 568-1700,PCY.0000989,"16 MAIN ST
CT 06118-3208
(41.727757, -72.616613)",16 MAIN ST,EAST HARTFORD,CT,06118-3208,37794
STOP & SHOP PHARMACY #2613,860-594-7123,PCY.0001586,"206 KITTS LN
CT 06111-4250
(41.682639, -72.709468)",206 KITTS LN,NEWINGTON,CT,06111-4250,172482
RITE AID  #10367,(203) 874-0845,PCY.0001159,"1387 NEW HAVEN AVE
CT 06460-8159
(41.22865, -72.99657)",1387 NEW HAVEN AVE,MILFORD,CT,06460-8159,225199
CHARTER OAK HEALTH CENTER PHARMACY,(860) 550-7550,PCY.0001835,"21 GRAND ST
CT 06106-1541
(41.759422, -72.685508)",21 GRAND ST,HARTFORD,CT,06106-1541,337914
CVS PHARMACY #953,(860) 675-9210,PCY.0001323,"45 S MAIN ST
CT 06085-1278
(41.756412, -72.886786)",45 S MAIN ST,UNIONVILLE,CT,06085-1278,38466
CVS PHARMACY #1284,(860) 664-9337,PCY.0001554,"14 E MAIN ST
CT 06413-2019
(41.278137, -72.523923)",14 E MAIN ST,CLINTON,CT,06413-2019,74163
MCQUADE'S PHARMACY INC,(860) 536-4606,PCY.0001547,"10 CLARA DR
CT 06355-1957
(41.37216, -71.954736)",10 CLARA DR,MYSTIC,CT,06355-1957,283469
CVS PHARMACY #1153,(203) 330-8278,PCY.0001435,"1875 BOSTON AVE
CT 06610-2623
(41.193272, -73.159776)",1875 BOSTON AVE,BRIDGEPORT,CT,06610-2623,38896
CVS PHARMACY #10130,(860) 228-3888,PCY.0002236,"110 MAIN ST
CT 06248-1518
(41.660436, -72.357615)",110 MAIN ST,HEBRON,CT,06248-1518,1056533
BIG Y PHARMACY #32,(203) 729-4124,PCY.0002193,"85 BRIDGE ST
CT 06770-2812
(41.501598, -73.051452)",85 BRIDGE ST,NAUGATUCK,CT,06770-2812,953885
RITE AID  #4092,203-468-1039,PCY.0002132,"645 FOXON RD
CT 06513-1951
(41.321908, -72.85054)",645 FOXON RD,EAST HAVEN,CT,06513-1951,518168
WALGREENS #01455,(203) 453-1619,PCY.0001985,"1116 BOSTON POST RD
CT 06437-2624
(41.287615, -72.687132)",1116 BOSTON POST RD,GUILFORD,CT,06437-2624,405763
CORNERSTONE PHARMACY,203-324-0251,PCY.0002241,"134 STILLWATER AVE
CT 06902-4839
(41.052001, -73.551872)",134 STILLWATER AVE,STAMFORD,CT,06902-4839,1077257
CVS PHARMACY #10317,(860) 429-1536,PCY.0002301,"8 ROYCE CIR
CT 06268-2258
(41.804579, -72.243234)",8 ROYCE CIR,STORRS MANSFIELD,CT,06268-2258,1239707
STOP & SHOP PHARMACY #654,(203) 238-1261,PCY.0001729,"485 BROAD ST
CT 06450-5801
(41.533302, -72.792475)",485 BROAD ST,MERIDEN,CT,06450-5801,223411
STOP & SHOP PHARMACY #650,203-254-8538,PCY.0001651,"1160 KING'S HIGHWAY
CUTOFF, CT 06430
(38.622917, -90.092923)",1160 KING'S HIGHWAY CUTOFF,FAIRFIELD,CT,06430,188609
BIG Y PHARMACY #5,(860) 536-5835,PCY.0001647,"79 STONINGTON RD
CT 06355-2931
(41.344257, -71.950826)",79 STONINGTON RD,MYSTIC,CT,06355-2931,187702
STOP & SHOP PHARMACY #648,(203) 389-8863,PCY.0001470,"112 AMITY RD
CT 06515-1405
(41.33815, -72.97994)",112 AMITY RD,NEW HAVEN,CT,06515-1405,39098
CVS PHARMACY #2153,(860) 561-6164,PCY.0001638,"150 S MAIN ST
CT 06107-3432
(41.752132, -72.743984)",150 S MAIN ST,WEST HARTFORD,CT,06107-3432,182752
CVS PHARMACY #1098,(860) 741-0751,PCY.0001020,"47 HAZARD AVE
CT 06082-3813
(41.989703, -72.576562)",47 HAZARD AVE,ENFIELD,CT,06082-3813,37803
CVS PHARMACY #350,(860) 233-9673,PCY.0000448,"566 FARMINGTON AVE
CT 06105-3050
(41.766167, -72.711395)",566 FARMINGTON AVE,HARTFORD,CT,06105-3050,37323
"GENOA, A QOL HEALTHCARE COMPANY  LLC",(860) 344-1704,PCY.0002267,"230 MAIN STREET EXT
STE A, CT 06457-4470
(41.550446, -72.642537)",230 MAIN STREET EXT STE A,MIDDLETOWN,CT,06457-4470,1164106
CVS/PHARMACY #17071,(203) 859-3695,PCY.0001954,"25 BOSTON POST RD
CT 06477-3203
(41.279319, -72.986055)",25 BOSTON POST RD,ORANGE,CT,06477-3203,394019
SIMPLY PHARMACY,(860) 865-1303,PCY.0002312,"92 BOSTON POST RD
CT 06385-2421
(41.341771, -72.121856)",92 BOSTON POST RD,WATERFORD,CT,06385-2421,1276408
CVS PHARMACY #1280,(203) 862-9320,PCY.0001432,"99 GREENWICH AVE
CT 06830-5511
(41.029308, -73.626423)",99 GREENWICH AVE,GREENWICH,CT,06830-5511,38890
CVS PHARMACY #916,(860) 945-3390,PCY.0001299,"26 DAVIS ST
CT 06779-1925
(41.588159, -73.088803)",26 DAVIS ST,OAKVILLE,CT,06779-1925,38453
STOP & SHOP PHARMACY #693,,PCY.0001505,"940 SILVER LN
CT 06118-1235
(41.76545, -72.602378)",940 SILVER LN,EAST HARTFORD,CT,06118-1235,39116
NB HEALTH CARE LLC,,PCY.0002291,"248 MAIN ST
CT 06051-2222
(41.667462, -72.782509)",248 MAIN ST,NEW BRITAIN,CT,06051-2222,1212758
CVS PHARMACY #1966,(203) 458-1444,PCY.0001510,"1057 BOSTON POST RD
CT 06437-2644
(41.287814, -72.68484)",1057 BOSTON POST RD,GUILFORD,CT,06437-2644,39119
ANNEX PHARMACY,(203) 287-3127,PCY.0001981,"2380A DIXWELL AVE
CT 06514-1810
(41.376025, -72.915777)",2380A DIXWELL AVE,HAMDEN,CT,06514-1810,402514
NEW CANAAN PHARMACY,(203) 920-1385,PCY.0002292,"44 EAST AVE
CT 06840-5518
(41.147668, -73.49005)",44 EAST AVE,NEW CANAAN,CT,06840-5518,1215066
HERITAGE VILLAGE PHARMACY,,PCY.0002289,"493 HERITAGE RD
CT 06488-3847
(41.489706, -73.225196)",493 HERITAGE RD,SOUTHBURY,CT,06488-3847,1206720
RITE AID #10353,(860) 546-6766,PCY.0001341,"200 WESTMINSTER RD
CT 06331-1450
(41.697453, -71.997829)",200 WESTMINSTER RD,CANTERBURY,CT,06331-1450,246645
NORTH STREET PHARMACY,2038692130,PCY.0000741,"1043 NORTH ST
CT 06831-2701
(41.140844, -73.639421)",1043 NORTH ST,GREENWICH,CT,06831-2701,225196
CVS PHARMACY #288,(860) 582-8167,PCY.0000331,"839 FARMINGTON AVE
CT 06010-3922
(41.693108, -72.915596)",839 FARMINGTON AVE,BRISTOL,CT,06010-3922,244512
RITE AID #10350,(860) 963-7230,PCY.0001107,"203 KENNEDY DR
CT 06260-1628
(41.919011, -71.908477)",203 KENNEDY DR,PUTNAM,CT,06260-1628,38006
CVS PHARMACY #10367,(203) 261-2541,PCY.0000208,"930 WHITE PLAINS RD
CT 06611-4550
(41.245281, -73.197198)",930 WHITE PLAINS RD,TRUMBULL,CT,06611-4550,37100
WOODBURY DRUG,(203) 263-2282,PCY.0001712,"682 MAIN ST S
CT 06798-3736
(41.527115, -73.203531)",682 MAIN ST S UNIT E 1,WOODBURY,CT,06798-3736,204631
WALGREENS #06503,(203) 876-7643,PCY.0001810,"541 BRIDGEPORT AVE
CT 06460-4203
(41.206928, -73.088697)",541 BRIDGEPORT AVE,MILFORD,CT,06460-4203,316867
WALGREENS #11619,(203) 881-9999,PCY.0001402,"144 BANK ST
CT 06483-2721
(41.397543, -73.078608)",144 BANK ST,SEYMOUR,CT,06483-2721,38877
STOP & SHOP PHARMACY #696,(203) 931-9478,PCY.0002048,"460 ELM STREET
CT 06516
(41.272872, -72.957388)",460 ELM STREET,WEST HAVEN,CT,06516,433320
TOWNE PHARMACY,(203) 488-1631,PCY.0000457,"1012 MAIN ST
CT 06405-3730
(41.281805, -72.81119)",1012 MAIN ST,BRANFORD,CT,06405-3730,37326
STOP & SHOP PHARMACY #2605,(860) 741-2200,PCY.0001345,"54 HAZARD AVE
CT 06082-3845
(41.989505, -72.574563)",54 HAZARD AVE,ENFIELD,CT,06082-3845,38655
COMMUNITY CARE PHARMACY INC,(860) 560-2000,PCY.0002272,"408 NEW BRITAIN AVE
CT 06106-3832
(41.74002, -72.696299)",408 NEW BRITAIN AVE,HARTFORD,CT,06106-3832,1170519
CVS PHARMACY #2572,(203) 383-7735,PCY.0001757,"1 HAWLEY LN
CT 06614-1200
(41.231119, -73.153264)",1 HAWLEY LN,STRATFORD,CT,06614-1200,306652
"GENOA, A QOL HEALTHCARE COMPANY, LLC",203-301-8861,PCY.0002269,"941 BRIDGEPORT AVE
CT 06460-3142
(41.214806, -73.073996)",941 BRIDGEPORT AVE STE M5,MILFORD,CT,06460-3142,1169257
CVS PHARMACY #71,(203) 783-9058,PCY.0002116,"989 BOSTON POST RD
CT 06460-3531
(41.231799, -73.04718)",989 BOSTON POST RD,MILFORD,CT,06460-3531,501304
RITE AID  #4778,(203) 469-7648,PCY.0001644,"588 MAIN ST
CT 06512-2001
(41.28366, -72.882765)",588 MAIN ST,EAST HAVEN,CT,06512-2001,186746
"GENOA, A QOL HEALTHCARE COMPANY  LLC",860-479-2667,PCY.0002270,"91 NORTHWEST DR
CT 06062-1534
(41.691175, -72.879261)",91 NORTHWEST DR STE L-14,PLAINVILLE,CT,06062-1534,1169395
RITE AID  #3440,(203) 838-6141,PCY.0001488,"190 EAST AVE
CT 06855-1112
(41.107245, -73.405529)",190 EAST AVE,NORWALK,CT,06855-1112,317813
RITE AID  #10382,(203) 792-6190,PCY.0000850,"289 GREENWOOD AVE
CT 06801-2402
(41.374581, -73.423435)",289 GREENWOOD AVE,BETHEL,CT,06801-2402,244287
CVS PHARMACY #760,(860) 224-3494,PCY.0001242,"713 W MAIN ST
CT 06053-3969
(41.666418, -72.806642)",713 W MAIN ST,NEW BRITAIN,CT,06053-3969,233493
CVS PHARMACY #348,(860) 529-2535,PCY.0000903,"1078 SILAS DEANE HWY
CT 06109-4231
(41.692584, -72.656303)",1078 SILAS DEANE HWY,WETHERSFIELD,CT,06109-4231,37768
WALGREENS #07047,(860) 667-0461,PCY.0002012,"2920 BERLIN TPKE
CT 06111-4116
(41.669241, -72.718009)",2920 BERLIN TPKE,NEWINGTON,CT,06111-4116,414149
RITE AID  #4772,8607494184,PCY.0001671,"71 PALOMBA DRIVE
CT 06082-3801
(41.989838, -72.571218)",71 PALOMBA DRIVE,ENFIELD,CT,06082-3801,198649
WALGREENS #02858,(860) 346-7372,PCY.0001511,"633 WASHINGTON ST
CT 06457-2542
(41.555008, -72.672769)",633 WASHINGTON ST,MIDDLETOWN,CT,06457-2542,39120
CVS PHARMACY #1156,(860) 521-9877,PCY.0001461,"1240 FARMINGTON AVE
CT 06107-2618
(41.754614, -72.766484)",1240 FARMINGTON AVE,WEST HARTFORD,CT,06107-2618,225204
SUBURBAN PHARMACY,(860) 236-3564,PCY.0000256,"344 N MAIN ST
CT 06117-2526
(41.785155, -72.746913)",344 N MAIN ST,WEST HARTFORD,CT,06117-2526,37111
RITE AID  #10381,860-274-7559,PCY.0001277,"620 MAIN ST
CT 06795-2614
(41.602049, -73.116132)",620 MAIN ST,WATERTOWN,CT,06795-2614,246434
STOP & SHOP PHARMACY #613,(860) 871-1053,PCY.0001645,"10 PITKIN RD
CT 06066-4709
(41.830651, -72.492573)",10 PITKIN RD,VERNON,CT,06066-4709,187385
RITE AID  #4995,(860) 354-6313,PCY.0001703,"173 DANBURY RD
CT 06776-4309
(41.550765, -73.417786)",173 DANBURY RD,NEW MILFORD,CT,06776-4309,211229
STOP & SHOP PHARMACY #637,(203) 356-0126,PCY.0001642,"2200 BEDFORD ST
CT 06905-3905
(41.06854, -73.544635)",2200 BEDFORD ST,STAMFORD,CT,06905-3905,185419
LENOX PHARMA LLC D/B/A LENOX PHARMACY,(860) 649-0896,PCY.0000871,"299 E CENTER ST
CT 06040-5211
(41.777697, -72.510133)",299 E CENTER ST,MANCHESTER,CT,06040-5211,244292
STOP & SHOP PHARMACY #639,2033755717,PCY.0001320,"200 E MAIN ST
CT 06614-5114
(41.202229, -73.117375)",200 E MAIN ST,STRATFORD,CT,06614-5114,38464
STOP & SHOP #631,3013414387,PCY.0001596,"215 GLASTONBURY BLVD
CT 06033-4408
(41.721074, -72.623553)",215 GLASTONBURY BLVD,GLASTONBURY,CT,06033-4408,172001
WALGREENS #05948,(203) 639-8166,PCY.0001769,"425 W MAIN ST
CT 06451-3816
(41.539952, -72.817621)",425 W MAIN ST,MERIDEN,CT,06451-3816,258891
WALGREENS  #05407,(860) 649-8899,PCY.0001247,"295 MAIN ST
CT 06040-4128
(41.782819, -72.522956)",295 MAIN ST,MANCHESTER,CT,06040-4128,38245
STOP & SHOP PHARMACY #619,(860) 688-1744,PCY.0001597,"1095 KENNEDY RD
CT 06095-1339
(41.894276, -72.650878)",1095 KENNEDY RD,WINDSOR,CT,06095-1339,171992
WALGREENS #01824,(860) 741-3503,PCY.0001267,"30 HAZARD AVE
CT 06082-3713
(41.989731, -72.579224)",30 HAZARD AVE,ENFIELD,CT,06082-3713,38439
WALGREENS #15389,(860) 673-3219,PCY.0002245,"5 MILL ST
CT 06085-1019
(41.756672, -72.887014)",5 MILL ST,UNIONVILLE,CT,06085-1019,1081997
CVS PHARMACY #2258,(203) 323-1293,PCY.0002313,"537 CANAL ST
CT 06902-5901
(41.047213, -73.534077)",537 CANAL ST,STAMFORD,CT,06902-5901,1280407
CVS PHARMACY #1941,(203) 261-1185,PCY.0001532,"511 MONROE TPKE
CT 06468-2386
(41.317523, -73.215476)",511 MONROE TPKE,MONROE,CT,06468-2386,137281
CVS PHARMACY #2584,(203) 931-4541,PCY.0001766,"252 ORANGE AVE
CT 06516-2003
(41.295014, -72.958686)",252 ORANGE AVE,WEST HAVEN,CT,06516-2003,248978
WALGREENS #10261,(860) 526-8052,PCY.0002113,"180 MAIN ST
CT 06417-2039
(41.384766, -72.435423)",180 MAIN ST,DEEP RIVER,CT,06417-2039,499988
CVS PHARMACY #857,(203) 467-8876,PCY.0001304,"660 FOXON RD
CT 06513-1863
(41.322029, -72.852454)",660 FOXON RD,EAST HAVEN,CT,06513-1863,38455
NEW BRITAIN PHARMACY,860-223-0522,PCY.0002260,"46 BROAD ST
CT 06053-4305
(41.67338, -72.785028)",46 BROAD ST,NEW BRITAIN,CT,06053-4305,1146910
CVS PHARMACY #941,(203) 933-5499,PCY.0001326,"844 JONES HILL RD
CT 06516-5643
(41.260008, -72.965338)",844 JONES HILL RD,WEST HAVEN,CT,06516-5643,38467
CVS PHARMACY #6807,(203) 237-8997,PCY.0000423,"153 BROAD ST
CT 06450-6550
(41.525694, -72.799421)",153 BROAD ST,MERIDEN,CT,06450-6550,344688
STOP & SHOP PHARMACY #658,2038342204,PCY.0001849,"5 RIVER ROAD
CT 06897
(41.190932, -73.430421)",5 RIVER ROAD,WILTON,CT,06897,351206
CVS PHARMACY #364,(860) 344-1857,PCY.0001143,"308 MAIN STREET EXT
CT 06457-4406
(41.549388, -72.641225)",308 MAIN STREET EXT,MIDDLETOWN,CT,06457-4406,38024
CVS PHARMACY #2259,(203) 401-4661,PCY.0001799,"215 WHALLEY AVE
CT 06511-3205
(41.315688, -72.939715)",215 WHALLEY AVE,NEW HAVEN,CT,06511-3205,293760
WALGREENS #10309,203-488-9059,PCY.0002100,"1036 W MAIN ST
CT 06405-3428
(41.275167, -72.831986)",1036 W MAIN ST,BRANFORD,CT,06405-3428,483286
CVS PHARMACY #671,(860) 236-6181,PCY.0001205,"1099 NEW BRITAIN AVE
CT 06110-2418
(41.731943, -72.729996)",1099 NEW BRITAIN AVE,WEST HARTFORD,CT,06110-2418,38225
WALGREENS #05949,(860) 482-5621,PCY.0001782,"28 E ELM ST
CT 06790-5016
(41.811875, -73.120766)",28 E ELM ST,TORRINGTON,CT,06790-5016,283208
CVS PHARMACY #349,(860) 947-5078,PCY.0000006,"484 WINDSOR AVE
CT 06095-4401
(41.820112, -72.656585)",484 WINDSOR AVE,WINDSOR,CT,06095-4401,36880
MEDICINE SHOPPE (THE),,PCY.0000793,"79 EAST ST
CT 06066-3845
(41.860745, -72.431692)",79 EAST ST,VERNON ROCKVILLE,CT,06066-3845,37563
STOP & SHOP PHARMACY #640,203-299-1718,PCY.0001688,"385 CONNECTICUT AVE
CT 06854-1805
(41.100382, -73.440785)",385 CONNECTICUT AVE,NORWALK,CT,06854-1805,200353
STOP & SHOP PHARMACY #606,860-635-6303,PCY.0001225,"35 SHUNPIKE RD
CT 06416-2414
(41.602303, -72.676099)",35 SHUNPIKE RD,CROMWELL,CT,06416-2414,38237
CVS PHARMACY #124,(203) 723-1172,PCY.0001556,"98 BRIDGE ST
CT 06770-2822
(41.501686, -73.051283)",98 BRIDGE ST,NAUGATUCK,CT,06770-2822,73598
CVS PHARMACY #8249,(860) 963-2548,PCY.0002149,"57 PROVIDENCE PIKE
CT 06260-2413
(41.924979, -71.87672)",57 PROVIDENCE PIKE,PUTNAM,CT,06260-2413,897486
CVS PHARMACY #17490,(860) 823-2961,PCY.0002143,"195 RIVER RD
CT 06351-3253
(41.584165, -71.995148)",195 RIVER RD,LISBON,CT,06351-3253,533235
